User Type,Domain,Field,Usage,Timeline,Recproj
Student,NLP,Medical,Personal,Latest,NLP
Working Professional,Computer Vision,Security,Enterprise,3 - 6 months old, DATA
Student,Prediction,Finance,Personal,Anytime, CV
Working Professional,Image Processing,Education,Personal,Latest, PRE
Student,Data Projects,Agriculture,Personal,3 - 6 months old, IMP
Working Professional,NLP,Finance,Personal,Anytime, NLP
Student,Computer Vision,Security,Enterprise,Latest, DATA
Working Professional,Prediction,Medical,Personal,3 - 6 months old, CV
Student,Image Processing,Finance,Personal,Anytime, PRE
Working Professional,Data Projects,Education,Personal,Latest,IMP
Student,NLP,Medical,Personal,Anytime,NLP
Working Professional,Computer Vision,Security,Enterprise,Latest,DATA
Student,Prediction,Finance,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Education,Personal,Anytime,PRE
Student,Data Projects,Agriculture,Personal,Latest,IMP
Working Professional,NLP,Finance,Personal,3 - 6 months old,NLP
Student,Computer Vision,Security,Enterprise,Anytime,DATA
Working Professional,Prediction,Medical,Personal,Latest,CV
Student,Image Processing,Finance,Personal,3 - 6 months old,PRE
Working Professional,Data Projects,Education,Personal,Anytime,IMP
Student,NLP,Education,Personal,Latest,NLP
Working Professional,Image Processing,Medical,Personal,Anytime,DATA
Student,Data Projects,Finance,Personal,3 - 6 months old,CV
Working Professional,Computer Vision,Security,Enterprise,Latest,PRE
Student,Prediction,Agriculture,Personal,Anytime,IMP
Working Professional,NLP,Education,Personal,3 - 6 months old,NLP
Student,Computer Vision,Medical,Personal,Latest,DATA
Working Professional,Image Processing,Finance,Personal,3 - 6 months old,CV
Student,Data Projects,Security,Personal,Anytime,PRE
Working Professional,Prediction,Agriculture,Personal,Latest,IMP
Student,NLP,Education,Personal,3 - 6 months old,NLP
Working Professional,Image Processing,Medical,Personal,Latest,DATA
Student,Data Projects,Finance,Enterprise,Anytime,CV
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,PRE
Student,Prediction,Agriculture,Personal,Latest,IMP
Working Professional,NLP,Education,Personal,Anytime,NLP
Student,Computer Vision,Medical,Enterprise,3 - 6 months old,DATA
Working Professional,Image Processing,Finance,Personal,Latest,CV
Student,Data Projects,Security,Personal,Anytime,PRE
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,IMP
Student,NLP,Education,Personal,Latest,NLP
Working Professional,Image Processing,Medical,Personal,Anytime,DATA
Student,Data Projects,Finance,Personal,Latest,CV
Working Professional,Computer Vision,Security,Enterprise,3 - 6 months old,PRE
Student,Prediction,Agriculture,Personal,Anytime,IMP
Working Professional,NLP,Education,Personal,Latest,NLP
Student,Computer Vision,Medical,Personal,3 - 6 months old,DATA
Working Professional,Image Processing,Finance,Personal,Latest,CV
Student,Data Projects,Security,Personal,Anytime,PRE
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,IMP
Student,NLP,Education,Personal,Anytime,NLP
Student,Computer Vision,Finance,Personal,Latest,DATA
Working Professional,Data Projects,Education,Personal,Anytime,CV
Student,NLP,Security,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Medical,Enterprise,Latest,IMP
Student,Prediction,Agriculture,Personal,Anytime,NLP
Working Professional,NLP,Finance,Personal,3 - 6 months old,DATA
Student,Computer Vision,Education,Personal,Latest,CV
Working Professional,Image Processing,Finance,Personal,3 - 6 months old,PRE
Student,Data Projects,Security,Personal,Anytime,IMP
Working Professional,Prediction,Agriculture,Personal,Latest,NLP
Student,NLP,Education,Personal,3 - 6 months old,DATA
Working Professional,Image Processing,Medical,Personal,Latest,CV
Student,Data Projects,Finance,Personal,Anytime,PRE
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,IMP
Student,Prediction,Agriculture,Personal,Latest,NLP
Working Professional,NLP,Education,Personal,Anytime,DATA
Student,Computer Vision,Medical,Personal,Latest,CV
Working Professional,Image Processing,Finance,Enterprise,3 - 6 months old,PRE
Student,Data Projects,Security,Personal,Latest,IMP
Working Professional,Prediction,Agriculture,Personal,Anytime,NLP
Student,NLP,Education,Personal,Latest,DATA
Working Professional,Image Processing,Medical,Personal,Anytime,CV
Student,Data Projects,Finance,Personal,3 - 6 months old,PRE
Working Professional,Computer Vision,Security,Enterprise,Latest,IMP
Student,Prediction,Agriculture,Personal,Anytime,NLP
Working Professional,NLP,Education,Personal,3 - 6 months old,DATA
Student,Computer Vision,Medical,Personal,Latest,CV
Working Professional,Image Processing,Finance,Personal,3 - 6 months old,PRE
Student,Data Projects,Security,Personal,Anytime,IMP
Working Professional,Prediction,Agriculture,Personal,Latest,NLP
Student,NLP,Education,Personal,3 - 6 months old,DATA
Working Professional,Image Processing,Medical,Personal,Latest,CV
Student,Data Projects,Finance,Enterprise,Anytime,PRE
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,IMP
Student,Prediction,Agriculture,Personal,Latest,NLP
Working Professional,NLP,Education,Personal,Anytime,DATA
Student,Computer Vision,Medical,Enterprise,3 - 6 months old,CV
Working Professional,Image Processing,Finance,Personal,Latest,PRE
Student,Data Projects,Security,Personal,Anytime,IMP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,NLP
Student,NLP,Education,Personal,Latest,DATA
Working Professional,Image Processing,Medical,Personal,Anytime,CV
Student,Data Projects,Finance,Personal,Latest,PRE
Working Professional,Computer Vision,Security,Enterprise,3 - 6 months old,IMP
Student,Prediction,Agriculture,Personal,Anytime,NLP
Working Professional,NLP,Education,Personal,Latest,DATA
Student,Computer Vision,Medical,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Finance,Personal,Latest,PRE
Student,Data Projects,Security,Personal,Anytime,IMP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,NLP
Student,NLP,Education,Personal,Anytime,DATA
Student,Image Processing,Finance,Personal,Latest,CV
Working Professional,Data Projects,Education,Personal,Anytime,PRE
Student,Computer Vision,Security,Personal,3 - 6 months old,IMP
Working Professional,NLP,Medical,Enterprise,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,Computer Vision,Finance,Personal,3 - 6 months old,CV
Student,Data Projects,Education,Personal,Latest,PRE
Working Professional,Image Processing,Security,Personal,3 - 6 months old,IMP
Student,NLP,Medical,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,Computer Vision,Finance,Personal,3 - 6 months old,CV
Working Professional,Data Projects,Education,Personal,Latest,PRE
Student,Image Processing,Security,Personal,Anytime,IMP
Working Professional,NLP,Medical,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Latest,DATA
Working Professional,Computer Vision,Finance,Personal,Anytime,CV
Student,Data Projects,Education,Personal,Latest,PRE
Working Professional,Image Processing,Security,Personal,Anytime,IMP
Student,NLP,Medical,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Finance,Personal,Latest,CV
Working Professional,Image Processing,Education,Enterprise,Anytime,PRE
Student,Data Projects,Medical,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Finance,Personal,3 - 6 months old,CV
